0,3,8,20,4,2,14,16,22,36,35,23,39,26,33,42
2,2,2,2,2,14,14,14,2,39,39,26,39,26,39,26
2,2,2,2,2,14,14,14,2,39,39,26,39,26,39,39
0,3,8,20,2,4,14,16,22,36,35,23,39,26,33,42
2,2,2,2,2,14,14,16,2,39,23,23,39,26,33,39
14,2,2,4,2,16,14,16,16,39,23,26,39,26,33,23
2,2,2,2,2,14,14,16,20,39,39,26,39,26,33,23
14,8,4,4,4,4,14,16,8,42,23,23,39,26,33,23
2,3,8,20,2,4,14,16,22,36,35,23,39,26,33,42
2,2,2,2,2,2,14,16,2,36,35,23,39,26,33,42
2,2,2,2,2,14,14,14,2,39,39,26,39,26,33,39
4,2,4,4,2,2,14,16,2,42,23,26,39,26,33,42
2,2,2,2,2,16,14,16,16,36,35,23,39,26,33,42
16,3,2,8,3,3,14,16,8,20,2,26,39,35,33,23
2,3,3,4,2,2,14,16,2,35,35,23,39,26,33,42
14,2,3,3,4,2,14,16,8,42,35,23,39,26,33,23
2,2,2,2,2,14,14,14,2,39,39,26,39,26,33,23
2,2,2,2,2,2,14,14,2,39,39,23,39,26,39,39
2,2,8,3,2,2,14,16,3,36,35,23,39,26,33,42
14,2,2,3,4,2,14,16,8,42,36,26,39,35,33,23
3,4,8,4,2,2,14,16,22,36,35,23,39,26,33,42
3,3,2,4,2,2,14,16,8,36,35,23,39,26,33,42
2,2,2,2,2,14,14,14,2,39,23,26,39,26,33,39
2,2,2,2,2,16,14,16,2,39,23,26,39,26,33,39
2,3,8,20,4,2,14,16,20,36,35,23,39,26,33,42
2,3,8,20,4,2,14,16,22,36,35,23,39,26,33,42
2,2,2,2,2,2,14,16,2,36,23,26,39,26,33,39
3,4,2,2,2,2,14,16,22,36,35,23,39,26,33,42
3,2,2,4,2,2,14,16,2,36,35,23,39,26,33,42
2,4,3,4,2,4,14,16,3,36,36,23,39,26,33,42
2,2,4,3,2,2,14,16,4,36,36,23,39,26,33,42
2,4,4,2,2,2,14,16,2,36,35,23,39,26,33,42
3,3,2,8,4,8,14,16,4,35,35,23,39,26,33,42
3,3,8,2,4,2,14,16,2,36,35,23,39,26,33,42
3,2,2,3,4,2,14,16,20,36,35,23,39,26,33,42
3,2,4,4,4,2,14,16,3,36,35,23,39,26,33,42
2,3,2,4,4,2,14,16,2,36,35,23,39,26,33,42
2,4,4,3,2,2,14,16,3,35,39,23,39,26,33,42
3,4,2,4,2,2,14,16,2,36,35,23,39,26,33,42
2,2,4,4,3,2,14,16,2,36,36,23,39,26,33,42
2,2,3,2,4,4,14,16,3,36,35,23,39,26,33,42
3,3,2,2,4,2,14,16,22,36,35,23,39,26,33,42
2,3,4,3,2,4,14,16,3,36,35,23,39,26,33,42
2,3,3,2,4,4,14,16,4,36,35,23,39,26,33,42
3,2,3,3,2,4,14,16,4,35,36,23,39,26,33,42
2,3,4,20,2,3,14,16,2,36,35,23,39,26,33,42
2,2,4,2,4,4,14,16,2,36,35,23,39,26,33,42
4,2,3,20,4,2,14,16,2,36,36,23,39,26,33,42
2,3,8,3,2,2,14,16,20,36,35,23,39,26,33,42
2,2,2,3,2,16,14,16,3,36,35,23,39,26,33,42
2,3,8,20,3,2,14,16,2,36,35,23,39,26,33,42
2,4,3,3,2,4,14,16,3,36,39,23,39,26,33,42
3,2,4,2,3,3,14,16,3,36,36,23,39,26,33,42
2,4,8,2,3,2,14,16,3,35,35,23,39,26,33,42
3,3,16,20,4,4,14,16,22,36,35,23,39,26,33,42
2,4,3,4,2,4,14,16,3,36,39,23,39,26,33,42
2,4,2,4,4,4,14,16,3,36,35,23,39,26,33,42
