14,39,14,26,26,14,14,14,33,39,26,23,39,23,33,39,33,3,3,3,23,3,14,23
14,26,14,26,26,14,14,14,33,39,26,26,39,23,33,39,33,3,3,3,23,3,14,23
23,12,43,0,24,16,35,14,36,44,26,21,42,25,27,39,33,3,2,8,22,4,32,20
23,9,46,0,24,16,36,14,35,47,26,21,42,19,27,39,33,3,2,8,22,4,32,20
16,26,14,26,26,16,33,14,33,39,26,23,39,26,33,39,33,3,3,3,23,3,14,23
23,26,14,26,26,16,36,14,36,39,26,26,39,26,33,39,33,3,3,3,26,3,14,26
16,26,14,26,26,16,36,14,36,39,26,26,39,26,33,39,33,3,3,3,26,3,14,23
16,26,14,26,36,16,36,14,35,39,26,36,39,26,33,39,33,3,3,3,23,3,14,23
16,26,42,22,33,16,36,14,35,36,26,42,41,23,20,39,33,3,2,8,20,4,22,22
16,26,42,4,33,16,36,14,35,36,26,42,42,23,20,39,33,3,2,8,20,4,22,22
16,26,14,26,36,14,35,14,35,39,26,36,39,26,33,39,33,3,3,3,23,3,14,23
14,26,14,26,23,16,36,14,35,42,26,26,39,26,33,39,33,3,3,3,23,3,14,23
20,33,26,22,33,16,36,14,35,42,20,28,16,23,42,39,35,8,4,3,2,41,22,22
42,26,21,14,33,16,26,14,35,36,26,20,42,23,20,39,33,3,33,8,22,4,2,14
16,23,22,22,33,16,36,14,36,36,26,39,39,23,33,39,33,4,2,4,23,16,22,20
14,26,14,26,26,16,36,14,35,42,26,26,39,26,33,39,33,3,3,3,23,3,14,23
42,26,25,14,33,16,27,14,35,36,26,24,42,23,20,39,33,3,24,8,22,4,2,16
24,16,25,8,26,16,36,14,35,25,26,26,42,26,26,39,33,3,2,4,23,4,22,20
21,23,26,0,20,16,36,14,35,24,26,21,42,26,26,39,33,3,2,8,23,4,22,20
19,21,26,21,33,16,36,14,35,42,20,27,16,23,20,39,33,8,24,3,2,4,22,22
23,26,36,23,33,16,35,14,36,39,26,26,26,23,20,39,33,8,16,8,14,4,22,22
16,42,14,2,26,16,36,14,33,39,26,23,39,26,33,39,33,3,3,8,26,3,14,23
20,26,27,28,33,16,35,2,41,42,26,25,36,23,20,39,24,3,22,8,14,4,8,22
23,28,25,2,24,16,36,14,35,26,26,25,42,27,23,39,33,3,2,8,23,4,22,20
23,26,36,23,33,16,35,14,36,39,26,20,26,23,20,39,33,8,16,8,14,4,22,22
16,23,36,22,33,16,26,14,35,36,26,26,42,23,20,39,33,3,26,4,26,3,22,22
16,26,28,20,33,23,35,14,35,47,21,24,42,23,27,39,33,3,2,8,19,4,22,36
22,9,25,4,20,16,36,14,35,24,26,21,42,28,26,39,33,3,2,8,23,4,23,20
43,26,27,21,33,16,36,14,35,42,19,28,25,23,20,39,33,8,24,3,2,4,22,25
27,28,26,0,23,16,36,14,35,25,26,24,42,26,19,39,33,3,2,8,23,4,22,20
16,23,22,22,35,16,36,14,36,42,26,39,39,23,33,39,33,4,3,4,23,3,20,20
42,26,42,14,33,16,23,14,35,36,26,20,26,23,20,39,33,2,23,3,26,4,22,22
16,26,14,26,23,16,33,14,33,39,26,26,39,26,33,39,33,3,3,3,23,3,14,23
23,24,25,0,26,16,36,14,35,26,27,21,42,19,9,39,33,3,2,8,23,4,22,20
23,12,25,0,24,16,36,14,35,28,26,21,42,19,9,39,33,3,2,8,23,4,22,20
23,12,25,0,24,16,36,14,35,26,27,21,42,19,9,39,33,3,2,8,23,4,22,20
42,26,42,14,33,16,23,14,35,36,26,26,26,23,20,39,33,2,23,3,26,4,22,22
16,26,20,26,36,16,36,14,35,26,26,35,42,26,33,39,33,3,2,8,23,4,22,35
32,20,26,2,33,16,36,14,35,26,27,28,42,21,28,39,33,3,2,8,23,4,22,20
26,27,23,3,26,16,36,14,35,24,26,23,42,26,26,39,33,3,2,8,25,4,22,20
24,23,26,4,28,16,36,14,35,25,26,27,42,26,27,39,33,3,2,8,20,4,22,20
24,24,23,0,24,16,36,14,35,21,26,26,42,25,12,39,33,3,2,8,23,4,22,20
36,32,23,27,26,16,36,14,35,21,26,23,42,27,24,39,33,3,2,8,16,4,22,20
26,28,2,3,26,16,36,14,35,24,26,27,42,26,25,39,33,3,0,8,23,4,22,20
16,26,20,26,36,16,36,14,35,16,26,26,42,27,33,39,33,3,2,8,23,4,22,33
23,26,28,4,25,16,36,14,35,24,26,23,42,43,32,39,33,3,2,8,25,3,22,20
24,20,25,4,26,16,36,14,35,28,36,23,42,24,4,39,33,3,2,8,20,4,22,22
16,28,42,4,33,16,36,14,35,36,26,22,42,23,20,39,33,3,2,8,20,4,22,22
16,26,26,4,23,16,36,14,35,26,28,23,42,25,9,39,33,3,2,8,27,4,22,20
26,22,24,9,25,16,36,14,35,28,26,22,42,26,32,39,33,3,2,8,23,4,22,20
25,27,28,19,26,16,36,14,35,25,26,25,42,24,25,39,33,3,2,8,23,4,22,20
26,41,32,4,25,16,36,14,35,9,26,23,42,26,21,39,33,3,2,8,23,4,22,20
21,23,24,4,20,16,36,14,35,23,26,27,42,25,24,39,33,3,2,8,23,4,22,20
23,9,23,0,23,16,36,14,35,24,26,21,42,24,9,39,33,3,2,8,23,4,22,20
24,22,26,21,24,16,36,14,35,28,26,21,42,24,25,39,33,3,2,8,23,4,22,20
26,23,26,3,25,16,36,14,35,24,25,25,42,25,26,39,33,3,2,8,23,4,22,20
26,24,24,4,25,16,36,14,35,27,26,23,42,25,19,39,33,3,2,8,23,4,22,20
