0,122,152,258,387,316,232,644,310,359,283,282,415,212,342,288,427,231,633,277,159,552,525,594,613,686,676,836,835,970,1092,1131,1088,1013,1052,1076,1178,909,1082,1048,989,825,964,454,915,773,599,778
218,0,29,135,325,194,110,607,248,249,221,221,354,89,281,227,363,170,596,216,98,515,488,557,576,588,639,799,737,872,994,988,1052,915,954,978,1080,811,1045,1011,891,727,927,373,793,650,519,656
241,28,0,158,193,216,132,635,116,271,148,89,281,112,149,226,385,206,517,252,134,543,516,585,604,534,667,837,683,818,940,979,1080,861,900,924,1026,758,1073,1039,838,673,955,319,803,673,465,678
186,276,305,0,310,57,148,784,376,138,381,394,436,67,334,442,256,385,611,431,313,692,665,734,753,628,816,932,777,912,1034,972,1170,955,994,1018,1120,852,1163,1129,932,767,1104,414,778,635,560,641
482,69,90,347,0,406,300,677,66,429,160,106,256,279,46,247,531,231,492,277,167,585,557,626,646,509,709,812,658,793,915,954,1051,836,875,899,1001,733,1044,1010,813,648,996,294,778,796,440,716
233,323,352,71,329,0,220,770,395,157,399,412,454,139,352,487,275,432,629,478,360,711,684,753,773,647,818,950,796,931,1053,991,1188,974,1013,1037,1139,870,1182,1148,950,786,1123,432,796,653,578,659
408,94,114,229,48,235,0,622,114,160,190,131,286,312,71,277,274,261,481,307,192,563,536,605,624,499,670,802,648,783,905,899,1040,826,865,889,991,722,1034,1000,802,638,975,284,704,561,430,567
557,470,490,602,464,608,455,0,387,533,335,438,389,613,411,418,636,346,202,381,410,121,94,163,182,348,245,405,497,632,717,793,658,675,714,738,733,572,651,617,652,487,533,282,614,901,301,537
498,115,129,281,77,340,234,614,0,363,94,81,190,213,56,181,465,165,426,211,166,522,495,563,583,443,646,746,592,727,849,888,985,770,809,833,935,667,978,944,747,582,933,228,712,730,374,650
557,218,239,438,172,444,153,614,238,0,243,255,298,436,196,330,231,314,473,360,316,555,528,597,616,490,662,793,639,774,896,834,1032,817,856,880,982,714,1025,991,794,629,967,276,639,497,422,502
451,171,167,304,166,380,228,520,89,305,0,104,132,236,112,87,408,71,368,117,119,428,401,469,489,386,552,689,535,670,792,830,927,713,751,776,877,609,921,886,689,525,839,171,654,673,317,593
362,75,98,200,151,259,153,607,74,291,97,0,229,132,106,174,406,158,465,204,135,515,488,557,576,482,639,785,631,766,888,927,1024,809,848,872,974,706,1017,983,786,621,927,268,751,693,413,689
483,167,187,386,161,393,240,551,84,318,32,135,0,267,108,119,420,103,381,149,150,459,432,501,520,398,583,701,547,682,804,843,940,725,764,788,890,622,933,899,702,537,871,183,667,685,329,605
230,321,350,69,441,127,81,682,364,220,311,415,366,0,387,399,334,382,541,428,358,623,596,665,684,559,730,862,708,843,965,959,1100,886,925,949,1051,782,1094,1060,862,698,1035,344,764,621,490,627
472,59,79,309,122,368,261,638,46,387,118,96,214,241,0,206,490,190,450,236,157,546,519,588,607,468,670,771,617,752,874,912,1009,795,833,858,959,691,1003,968,771,607,958,253,737,755,399,675
468,249,263,384,271,443,333,536,195,411,106,196,238,338,218,0,514,87,524,128,135,444,416,485,505,491,568,728,640,775,897,936,980,818,857,881,983,715,974,939,795,630,855,277,760,779,423,699
372,388,408,253,341,260,322,783,407,169,412,425,467,401,365,500,0,483,642,529,486,724,697,766,785,660,831,963,809,944,928,868,1103,919,1026,903,1014,883,1195,1161,963,799,1136,445,673,531,591,536
397,178,192,313,237,372,288,448,161,377,72,162,204,267,184,73,480,0,437,46,64,357,329,398,418,457,481,641,606,741,863,902,893,784,823,847,949,681,887,852,761,596,768,243,726,745,388,664
689,486,506,618,481,625,472,141,404,550,351,455,406,587,427,438,652,422,0,468,470,95,137,137,150,365,206,373,419,554,771,809,748,692,636,755,823,494,741,707,574,503,623,299,631,917,318,554
459,241,254,376,300,434,351,494,223,439,134,224,266,330,246,139,542,62,482,0,126,402,375,443,463,520,526,686,669,804,926,964,938,847,885,910,1011,743,932,897,823,659,813,305,788,807,451,727
333,114,128,250,234,308,224,520,157,363,123,129,256,204,189,129,477,72,509,118,0,428,401,470,489,509,552,712,658,793,915,954,965,836,875,899,1001,733,958,924,813,648,840,294,778,764,440,716
616,528,548,660,523,667,514,173,446,592,393,497,448,672,469,477,694,404,109,440,468,0,60,42,78,342,124,301,393,528,735,755,676,634,610,700,751,468,669,635,548,546,551,341,673,959,360,596
561,509,542,641,503,648,495,216,427,573,374,478,429,617,450,422,675,350,152,385,414,71,0,113,132,387,195,355,464,597,721,832,662,714,681,777,737,539,655,621,619,526,537,322,654,940,340,577
667,579,600,712,574,718,565,224,497,643,444,548,499,723,520,528,745,456,160,491,520,51,111,0,104,299,81,366,351,486,674,712,649,591,568,658,724,425,642,608,505,480,602,392,591,1011,411,513
667,580,600,712,574,718,565,218,497,643,445,548,499,723,521,528,746,456,153,491,520,81,112,110,0,378,147,258,411,500,737,773,677,652,628,718,753,486,671,637,566,540,553,393,724,1011,411,647
733,530,551,662,525,669,516,282,448,594,395,499,450,631,471,483,696,466,141,512,514,237,271,208,292,0,172,456,348,483,605,643,740,526,564,589,690,422,734,699,502,338,710,343,446,810,278,369
775,639,659,771,634,778,625,326,557,703,504,608,559,740,580,591,805,575,208,621,623,200,220,148,137,243,0,284,295,430,626,656,567,536,512,602,643,369,561,527,449,424,502,452,555,919,387,478
904,701,721,833,695,839,687,453,619,764,566,670,621,801,642,653,867,637,312,683,684,407,441,362,351,171,214,0,153,243,476,515,462,394,370,460,538,228,456,421,308,282,483,514,616,839,449,505
942,806,826,938,800,944,791,558,723,869,671,774,726,906,747,758,972,742,417,788,789,512,546,477,466,275,397,257,0,135,323,362,428,241,217,307,409,75,489,455,155,153,517,619,810,696,643,613
942,895,915,1027,889,1034,881,647,813,959,760,864,815,998,836,804,975,731,506,767,795,530,550,477,466,365,397,257,205,0,323,362,428,241,217,307,409,75,489,455,155,153,517,708,810,696,643,613
1050,1009,1031,1049,962,1055,943,768,955,980,903,1006,957,1106,979,912,1011,839,627,875,903,638,658,585,574,485,505,366,313,257,0,127,298,114,338,72,86,386,381,347,182,274,625,850,931,713,763,734
1101,941,962,981,895,988,876,819,961,912,915,978,970,1157,918,963,943,890,678,926,954,689,709,636,625,536,556,417,364,308,118,0,349,165,389,62,148,437,432,398,233,325,676,901,930,604,762,732
1013,980,994,1133,995,1139,986,731,918,1064,865,969,920,1069,941,875,1058,802,590,838,866,600,621,548,537,448,468,328,276,220,163,202,0,77,301,147,249,349,343,309,145,236,588,813,894,771,726,696
936,903,917,1056,918,1062,909,654,841,987,789,892,844,993,865,798,981,725,513,761,789,524,544,472,460,371,391,252,199,143,189,228,294,0,224,173,275,272,354,319,68,160,511,737,817,703,650,620
970,937,951,1089,951,1096,943,687,875,1021,822,926,877,1026,898,831,1015,758,546,794,822,557,577,505,494,405,425,285,232,176,159,197,264,24,0,143,244,305,347,313,102,193,544,770,850,736,683,653
1039,996,1016,1036,950,1042,930,756,944,967,891,995,946,1095,967,901,998,828,616,864,892,626,647,574,563,474,494,354,302,246,56,55,287,103,327,0,141,375,370,336,171,262,614,839,920,647,752,722
1155,1097,1117,1137,1051,1143,1032,872,1060,1068,1007,1111,1062,1211,1083,1016,1099,943,731,979,1007,742,762,690,679,590,609,470,417,361,104,156,402,218,442,159,0,490,486,452,287,378,729,955,1035,748,868,838
